Type,Index,Token_ID_1,Token_ID_2,Score
Stopword,1,37,,0.0
Stopword,2,21,,0.0
Stopword,3,16,,0.0
Stopword,4,24,,0.0
Stopword,5,67,,0.0
Stopword,6,19,,0.0
Stopword,7,4,,0.0
Stopword,8,12,,0.0
Stopword,9,33,,0.0
Stopword,10,157,,0.0
Stopword,11,264,,0.0
Stopword,12,56,,0.0
Stopword,13,11,,0.0
Stopword,14,18,,0.0
Stopword,15,55,,0.0
Stopword,16,91,,0.0
Stopword,17,81,,0.0
Stopword,18,61,,0.0
Stopword,19,84,,0.0
Stopword,20,139,,0.0
Stopword,21,46,,0.0
Stopword,22,186,,0.0
Stopword,23,119,,0.0
Stopword,24,9,,0.0
Stopword,25,25,,0.0
Stopword,26,66,,0.0
Stopword,27,94,,0.0
Stopword,28,4395,,0.0
Stopword,29,41,,0.0
Stopword,30,79,,0.0
Stopword,31,72,,0.0
Stopword,32,114,,0.0
Stopword,33,68,,0.0
Stopword,34,325,,0.0
Stopword,35,105,,0.0
Stopword,36,44,,0.0
Stopword,37,533,,0.0
Stopword,38,120,,0.0
Stopword,39,570,,0.0
Stopword,40,259,,0.0
Collocation,1,24,5136,2253102.007746416
Collocation,2,215,4988,2158142.647372286
Collocation,3,37,5531,1978043.7218426862
Collocation,4,186,3518,1923169.1066488808
Collocation,5,1275,1276,1676828.3834077283
Collocation,6,5018,1984,1675778.1547314937
Collocation,7,153,2175,1670519.6622616604
Collocation,8,570,5075,1665229.8561938931
Collocation,9,259,4718,1664715.514669045
Collocation,10,19,5261,1633045.9765402023
